Title,Rating,Review,Color,Size,Style
5.0 out of 5 starsHappy with it.,5,"I'm still getting used to it.  But it's highly efficient, has added interactive features with my cars hands free system.  Great camera. When syncing with my old phone it transferred my data, apps. Pics, in seconds.  All had to do was transfer my SIM card from my old phone to this one and I was 100% functioning.  No need to call my career and go through the hassle of transferring phones.",Titanium Silverblue,512 GB,S25 Ultra
1.0 out of 5 starsInfinite boot loop 5 days after initial use,1,"This product locked up while using the camera app and subsequently entered an infinite boot loop 5 days after initial use. The phone would get very hot, and restarting would only allow it to shut down for 60 seconds, upon which it would begin the boot process, only to get stuck on the initial black samsung screen, again, and again. The only thing I could do was wait until the battery physically ran to zero, which was a long time, and then try again the next day, when i discovered that the problem was still present. Amazon was very helpful, and almost immediately issued a full refund due to a manufacturer defect. I am posting this because this is a new product, and hopefully it will help someone else that runs into the same problem. I will try again with a local store, and hope that this is just a one off problem.",Titanium Whitesilver,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone,5,"I moved from an iPhone 11 Pro Max to this phone, so it's a big step up for me. I love it, considering it's my first Android phone. I think the 200-megapixel camera and fast processor are its best qualities. Gemini feels natural and helps a lot, to be honest. (Not as smart as ChatGPT though, at least for now)",Titanium Gray,256 GB,S25 Ultra
"4.0 out of 5 starsGreat phone but overpriced, truly expensive.",4,Bought this phone for my wife. She likes it. Excellent product works as advertised. No complaints so far used it for about a week now. She only had problems transferring my data from my old android phone. You will need to order a case and phone charger. For the price it should of came with these items.,Titanium Silverblue,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone!!!,5,"I upgraded from an S21, and dang this phone is nice! Better camera, better speakers, sharper screen. It's very, very snappy. But the S21 was fast too. I only have one gripe, and once Samsung fixes it I'll come back and change my review to five stars... It's no longer possible to have a 4x5 grid pattern on the home screens. The only options now are 4x6 or 5x6. I read in one forum that eventually it will be possible? I'm hoping that's the case. I thought the phone was going to be better in every regard but this particular limitation is a step down for me. Anyway great phone overall!Update: I've been using this phone for 5 days now and screw it, I'm moving my review to five stars even though I still can't do the 4x5 grid. This phone is amazing.2nd update: Not really an update, just that I forgot to mention how easy it is to transition from one Samsung to another. Literally all my apps on the other phone were downloaded to the new phone, it was so freaking easy to make the transition.",Navy,256 GB,S25
5.0 out of 5 starsAn Excellent Android!,5,Excellent! Elegant! Suprb! It is the best android that I have ever owned. The camera is absolutely remarkable. Two built in AI's. Gemini and Bixby.. I absolutely love my S25 ultra,Titanium Black,512 GB,S25 Ultra
CPU high temperature,1,CPU/battery reaches insane temperatures while phone is idle. Literally can not hold the phone as it is very hot. Double the temperature of another normal phone 70°c tracked with CPU Z APP,Titanium Black,256 GB,S25 Ultra
Fake/Scam/Unboxed Phone,1,Selling unboxed phone with a fake seal. I got the phone checked in the Samsung Store and they said it had already been activated before and is out of warranty.,Titanium Black,512 GB,S25 Ultra
"Samsung pay not supported, very disappointing",2,"Samsung Pay's not working on this thing!  I've tried everything, but it keeps saying it's not supported.  So frustrating, because it worked perfectly on my old Note 20.Something's wrong, or maybe it's region-locked—they don't say anywhere.  I wish I hadn't wasted my money and time.If you use Samsung Pay, don't buy it from this vendor; look elsewhere.",Titanium Black,256 GB,S25 Ultra
5.0 out of 5 starsAmazing!!,5,"This was a major upgrade for us, we went from a S9 to this S25.  It is amazing how fast it is and how much better it looks.We are still getting use to them, yet we love them.My husband got the S25 with the 256 memory I think it is and I got the S25 Ultra with the I think 512 memory.He didn't want a phone much bigger than his old S9 and I wanted a phone bigger than the S9.Mine isn't huge yet it definitely makes the regular one look smaller when I use his.They look sleek and very nice!!They are fast and I don't have any issues with lag or anything like that.",Silver Shadow,256 GB,S25
5.0 out of 5 starsLovely & Excellent Device. Suggestion for the Camera,5,"I love this device, but I have a suggestion for the professional camera. Please consider a camera update that allows for full manual adjustments, utilizing all the capabilities of the hardware. Currently, there are limits in place. For example, in astrophotos using the raw camera, the ISO can only be manually adjusted up to 3200, while AI allows it to go up to 8000. Although editing is possible afterward, I would prefer to set the camera for an optimal professional photo according to my preferences and the hardware's capabilities. Offering both options—AI & auto, and a fully manual mode without limits—would be fantastic. If anyone has been able to make all adjustments manually, please share your experience.",Titanium Silverblue,256 GB,S25 Ultra
5.0 out of 5 starsHappy with it.,5,"I'm still getting used to it.  But it's highly efficient, has added interactive features with my cars hands free system.  Great camera. When syncing with my old phone it transferred my data, apps. Pics, in seconds.  All had to do was transfer my SIM card from my old phone to this one and I was 100% functioning.  No need to call my career and go through the hassle of transferring phones.",Titanium Silverblue,512 GB,S25 Ultra
1.0 out of 5 starsInfinite boot loop 5 days after initial use,1,"This product locked up while using the camera app and subsequently entered an infinite boot loop 5 days after initial use. The phone would get very hot, and restarting would only allow it to shut down for 60 seconds, upon which it would begin the boot process, only to get stuck on the initial black samsung screen, again, and again. The only thing I could do was wait until the battery physically ran to zero, which was a long time, and then try again the next day, when i discovered that the problem was still present. Amazon was very helpful, and almost immediately issued a full refund due to a manufacturer defect. I am posting this because this is a new product, and hopefully it will help someone else that runs into the same problem. I will try again with a local store, and hope that this is just a one off problem.",Titanium Whitesilver,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone,5,"I moved from an iPhone 11 Pro Max to this phone, so it's a big step up for me. I love it, considering it's my first Android phone. I think the 200-megapixel camera and fast processor are its best qualities. Gemini feels natural and helps a lot, to be honest. (Not as smart as ChatGPT though, at least for now)",Titanium Gray,256 GB,S25 Ultra
"4.0 out of 5 starsGreat phone but overpriced, truly expensive.",4,Bought this phone for my wife. She likes it. Excellent product works as advertised. No complaints so far used it for about a week now. She only had problems transferring my data from my old android phone. You will need to order a case and phone charger. For the price it should of came with these items.,Titanium Silverblue,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone!!!,5,"I upgraded from an S21, and dang this phone is nice! Better camera, better speakers, sharper screen. It's very, very snappy. But the S21 was fast too. I only have one gripe, and once Samsung fixes it I'll come back and change my review to five stars... It's no longer possible to have a 4x5 grid pattern on the home screens. The only options now are 4x6 or 5x6. I read in one forum that eventually it will be possible? I'm hoping that's the case. I thought the phone was going to be better in every regard but this particular limitation is a step down for me. Anyway great phone overall!Update: I've been using this phone for 5 days now and screw it, I'm moving my review to five stars even though I still can't do the 4x5 grid. This phone is amazing.2nd update: Not really an update, just that I forgot to mention how easy it is to transition from one Samsung to another. Literally all my apps on the other phone were downloaded to the new phone, it was so freaking easy to make the transition.",Navy,256 GB,S25
5.0 out of 5 starsAn Excellent Android!,5,Excellent! Elegant! Suprb! It is the best android that I have ever owned. The camera is absolutely remarkable. Two built in AI's. Gemini and Bixby.. I absolutely love my S25 ultra,Titanium Black,512 GB,S25 Ultra
CPU high temperature,1,CPU/battery reaches insane temperatures while phone is idle. Literally can not hold the phone as it is very hot. Double the temperature of another normal phone 70°c tracked with CPU Z APP,Titanium Black,256 GB,S25 Ultra
Fake/Scam/Unboxed Phone,1,Selling unboxed phone with a fake seal. I got the phone checked in the Samsung Store and they said it had already been activated before and is out of warranty.,Titanium Black,512 GB,S25 Ultra
"Samsung pay not supported, very disappointing",2,"Samsung Pay's not working on this thing!  I've tried everything, but it keeps saying it's not supported.  So frustrating, because it worked perfectly on my old Note 20.Something's wrong, or maybe it's region-locked—they don't say anywhere.  I wish I hadn't wasted my money and time.If you use Samsung Pay, don't buy it from this vendor; look elsewhere.",Titanium Black,256 GB,S25 Ultra
5.0 out of 5 starsAmazing!!,5,"This was a major upgrade for us, we went from a S9 to this S25.  It is amazing how fast it is and how much better it looks.We are still getting use to them, yet we love them.My husband got the S25 with the 256 memory I think it is and I got the S25 Ultra with the I think 512 memory.He didn't want a phone much bigger than his old S9 and I wanted a phone bigger than the S9.Mine isn't huge yet it definitely makes the regular one look smaller when I use his.They look sleek and very nice!!They are fast and I don't have any issues with lag or anything like that.",Silver Shadow,256 GB,S25
5.0 out of 5 starsLovely & Excellent Device. Suggestion for the Camera,5,"I love this device, but I have a suggestion for the professional camera. Please consider a camera update that allows for full manual adjustments, utilizing all the capabilities of the hardware. Currently, there are limits in place. For example, in astrophotos using the raw camera, the ISO can only be manually adjusted up to 3200, while AI allows it to go up to 8000. Although editing is possible afterward, I would prefer to set the camera for an optimal professional photo according to my preferences and the hardware's capabilities. Offering both options—AI & auto, and a fully manual mode without limits—would be fantastic. If anyone has been able to make all adjustments manually, please share your experience.",Titanium Silverblue,256 GB,S25 Ultra
5.0 out of 5 starsHappy with it.,5,"I'm still getting used to it.  But it's highly efficient, has added interactive features with my cars hands free system.  Great camera. When syncing with my old phone it transferred my data, apps. Pics, in seconds.  All had to do was transfer my SIM card from my old phone to this one and I was 100% functioning.  No need to call my career and go through the hassle of transferring phones.",Titanium Silverblue,512 GB,S25 Ultra
1.0 out of 5 starsInfinite boot loop 5 days after initial use,1,"This product locked up while using the camera app and subsequently entered an infinite boot loop 5 days after initial use. The phone would get very hot, and restarting would only allow it to shut down for 60 seconds, upon which it would begin the boot process, only to get stuck on the initial black samsung screen, again, and again. The only thing I could do was wait until the battery physically ran to zero, which was a long time, and then try again the next day, when i discovered that the problem was still present. Amazon was very helpful, and almost immediately issued a full refund due to a manufacturer defect. I am posting this because this is a new product, and hopefully it will help someone else that runs into the same problem. I will try again with a local store, and hope that this is just a one off problem.",Titanium Whitesilver,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone,5,"I moved from an iPhone 11 Pro Max to this phone, so it's a big step up for me. I love it, considering it's my first Android phone. I think the 200-megapixel camera and fast processor are its best qualities. Gemini feels natural and helps a lot, to be honest. (Not as smart as ChatGPT though, at least for now)",Titanium Gray,256 GB,S25 Ultra
"4.0 out of 5 starsGreat phone but overpriced, truly expensive.",4,Bought this phone for my wife. She likes it. Excellent product works as advertised. No complaints so far used it for about a week now. She only had problems transferring my data from my old android phone. You will need to order a case and phone charger. For the price it should of came with these items.,Titanium Silverblue,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone!!!,5,"I upgraded from an S21, and dang this phone is nice! Better camera, better speakers, sharper screen. It's very, very snappy. But the S21 was fast too. I only have one gripe, and once Samsung fixes it I'll come back and change my review to five stars... It's no longer possible to have a 4x5 grid pattern on the home screens. The only options now are 4x6 or 5x6. I read in one forum that eventually it will be possible? I'm hoping that's the case. I thought the phone was going to be better in every regard but this particular limitation is a step down for me. Anyway great phone overall!Update: I've been using this phone for 5 days now and screw it, I'm moving my review to five stars even though I still can't do the 4x5 grid. This phone is amazing.2nd update: Not really an update, just that I forgot to mention how easy it is to transition from one Samsung to another. Literally all my apps on the other phone were downloaded to the new phone, it was so freaking easy to make the transition.",Navy,256 GB,S25
5.0 out of 5 starsAn Excellent Android!,5,Excellent! Elegant! Suprb! It is the best android that I have ever owned. The camera is absolutely remarkable. Two built in AI's. Gemini and Bixby.. I absolutely love my S25 ultra,Titanium Black,512 GB,S25 Ultra
CPU high temperature,1,CPU/battery reaches insane temperatures while phone is idle. Literally can not hold the phone as it is very hot. Double the temperature of another normal phone 70°c tracked with CPU Z APP,Titanium Black,256 GB,S25 Ultra
Fake/Scam/Unboxed Phone,1,Selling unboxed phone with a fake seal. I got the phone checked in the Samsung Store and they said it had already been activated before and is out of warranty.,Titanium Black,512 GB,S25 Ultra
"Samsung pay not supported, very disappointing",2,"Samsung Pay's not working on this thing!  I've tried everything, but it keeps saying it's not supported.  So frustrating, because it worked perfectly on my old Note 20.Something's wrong, or maybe it's region-locked—they don't say anywhere.  I wish I hadn't wasted my money and time.If you use Samsung Pay, don't buy it from this vendor; look elsewhere.",Titanium Black,256 GB,S25 Ultra
5.0 out of 5 starsHappy with it.,5,"I'm still getting used to it.  But it's highly efficient, has added interactive features with my cars hands free system.  Great camera. When syncing with my old phone it transferred my data, apps. Pics, in seconds.  All had to do was transfer my SIM card from my old phone to this one and I was 100% functioning.  No need to call my career and go through the hassle of transferring phones.",Titanium Silverblue,512 GB,S25 Ultra
5.0 out of 5 starsAmazing!!,5,"This was a major upgrade for us, we went from a S9 to this S25.  It is amazing how fast it is and how much better it looks.We are still getting use to them, yet we love them.My husband got the S25 with the 256 memory I think it is and I got the S25 Ultra with the I think 512 memory.He didn't want a phone much bigger than his old S9 and I wanted a phone bigger than the S9.Mine isn't huge yet it definitely makes the regular one look smaller when I use his.They look sleek and very nice!!They are fast and I don't have any issues with lag or anything like that.",Silver Shadow,256 GB,S25
5.0 out of 5 starsLovely & Excellent Device. Suggestion for the Camera,5,"I love this device, but I have a suggestion for the professional camera. Please consider a camera update that allows for full manual adjustments, utilizing all the capabilities of the hardware. Currently, there are limits in place. For example, in astrophotos using the raw camera, the ISO can only be manually adjusted up to 3200, while AI allows it to go up to 8000. Although editing is possible afterward, I would prefer to set the camera for an optimal professional photo according to my preferences and the hardware's capabilities. Offering both options—AI & auto, and a fully manual mode without limits—would be fantastic. If anyone has been able to make all adjustments manually, please share your experience.",Titanium Silverblue,256 GB,S25 Ultra
1.0 out of 5 starsInfinite boot loop 5 days after initial use,1,"This product locked up while using the camera app and subsequently entered an infinite boot loop 5 days after initial use. The phone would get very hot, and restarting would only allow it to shut down for 60 seconds, upon which it would begin the boot process, only to get stuck on the initial black samsung screen, again, and again. The only thing I could do was wait until the battery physically ran to zero, which was a long time, and then try again the next day, when i discovered that the problem was still present. Amazon was very helpful, and almost immediately issued a full refund due to a manufacturer defect. I am posting this because this is a new product, and hopefully it will help someone else that runs into the same problem. I will try again with a local store, and hope that this is just a one off problem.",Titanium Whitesilver,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone,5,"I moved from an iPhone 11 Pro Max to this phone, so it's a big step up for me. I love it, considering it's my first Android phone. I think the 200-megapixel camera and fast processor are its best qualities. Gemini feels natural and helps a lot, to be honest. (Not as smart as ChatGPT though, at least for now)",Titanium Gray,256 GB,S25 Ultra
4.0 out of 5 starsGreat Android phone but the transfer of data is not as simple as stated,4,"I upgraded from a S22 and this phone has many more bells and whistles, especially as it relates to AI and effortless completion of tasks. The data transfer goes very smoothly and the phone leads you through the steps easily. But here is what they do not tell you: the data transfer does not transfer anything you have paired and it does not transfer logons and passwords for all of the Apps transferred. There is still a massive amount of work to do to get to the smooth operation of your previous phone. Battery life is definitely better with this phone. I am pleased with the purchase.",Icyblue,128 GB,S25
5.0 out of 5 starsGreat phone!!!,5,"I upgraded from an S21, and dang this phone is nice! Better camera, better speakers, sharper screen. It's very, very snappy. But the S21 was fast too. I only have one gripe, and once Samsung fixes it I'll come back and change my review to five stars... It's no longer possible to have a 4x5 grid pattern on the home screens. The only options now are 4x6 or 5x6. I read in one forum that eventually it will be possible? I'm hoping that's the case. I thought the phone was going to be better in every regard but this particular limitation is a step down for me. Anyway great phone overall!Update: I've been using this phone for 5 days now and screw it, I'm moving my review to five stars even though I still can't do the 4x5 grid. This phone is amazing.2nd update: Not really an update, just that I forgot to mention how easy it is to transition from one Samsung to another. Literally all my apps on the other phone were downloaded to the new phone, it was so freaking easy to make the transition.",Navy,256 GB,S25
5.0 out of 5 starsAwesome Deal!!,5,"I am an older person (65) and for yrs went to a phone store so I could have data transferred from my old phone to my new phone; and of course paying premium $$$ for the phone and the service.  NOT anymore!!  I bought this new Samsung and upon charging it literally walked me through Step-by-Step on how to transfer my phone data, contacts, apps, etc...and keeping my phone number.  I also received $200.00 from Amazon!!  So getting the best phone on the market at a great deal!!  I am not tech savvy AT ALL, so was so proud that I took this small leap of faith to do it myself (it was one of the easiest tech things I have ever done) and saved several hundred dollars by doing so!!  Love this phone!  The Camera takes excellent pictures and videos and the features are great!  Love also that I got back $200.00 Amazon gift card!!",Titanium Whitesilver,256 GB,S25 Ultra
CPU high temperature,1,CPU/battery reaches insane temperatures while phone is idle. Literally can not hold the phone as it is very hot. Double the temperature of another normal phone 70°c tracked with CPU Z APP,Titanium Black,256 GB,S25 Ultra
Fake/Scam/Unboxed Phone,1,Selling unboxed phone with a fake seal. I got the phone checked in the Samsung Store and they said it had already been activated before and is out of warranty.,Titanium Black,512 GB,S25 Ultra
"Samsung pay not supported, very disappointing",2,"Samsung Pay's not working on this thing!  I've tried everything, but it keeps saying it's not supported.  So frustrating, because it worked perfectly on my old Note 20.Something's wrong, or maybe it's region-locked—they don't say anywhere.  I wish I hadn't wasted my money and time.If you use Samsung Pay, don't buy it from this vendor; look elsewhere.",Titanium Black,256 GB,S25 Ultra
5.0 out of 5 starsAmazing!!,5,"This was a major upgrade for us, we went from a S9 to this S25.  It is amazing how fast it is and how much better it looks.We are still getting use to them, yet we love them.My husband got the S25 with the 256 memory I think it is and I got the S25 Ultra with the I think 512 memory.He didn't want a phone much bigger than his old S9 and I wanted a phone bigger than the S9.Mine isn't huge yet it definitely makes the regular one look smaller when I use his.They look sleek and very nice!!They are fast and I don't have any issues with lag or anything like that.",Silver Shadow,256 GB,S25
5.0 out of 5 starsLovely & Excellent Device. Suggestion for the Camera,5,"I love this device, but I have a suggestion for the professional camera. Please consider a camera update that allows for full manual adjustments, utilizing all the capabilities of the hardware. Currently, there are limits in place. For example, in astrophotos using the raw camera, the ISO can only be manually adjusted up to 3200, while AI allows it to go up to 8000. Although editing is possible afterward, I would prefer to set the camera for an optimal professional photo according to my preferences and the hardware's capabilities. Offering both options—AI & auto, and a fully manual mode without limits—would be fantastic. If anyone has been able to make all adjustments manually, please share your experience.",Titanium Silverblue,256 GB,S25 Ultra
5.0 out of 5 starsHappy with it.,5,"I'm still getting used to it.  But it's highly efficient, has added interactive features with my cars hands free system.  Great camera. When syncing with my old phone it transferred my data, apps. Pics, in seconds.  All had to do was transfer my SIM card from my old phone to this one and I was 100% functioning.  No need to call my career and go through the hassle of transferring phones.",Titanium Silverblue,512 GB,S25 Ultra
1.0 out of 5 starsInfinite boot loop 5 days after initial use,1,"This product locked up while using the camera app and subsequently entered an infinite boot loop 5 days after initial use. The phone would get very hot, and restarting would only allow it to shut down for 60 seconds, upon which it would begin the boot process, only to get stuck on the initial black samsung screen, again, and again. The only thing I could do was wait until the battery physically ran to zero, which was a long time, and then try again the next day, when i discovered that the problem was still present. Amazon was very helpful, and almost immediately issued a full refund due to a manufacturer defect. I am posting this because this is a new product, and hopefully it will help someone else that runs into the same problem. I will try again with a local store, and hope that this is just a one off problem.",Titanium Whitesilver,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone,5,"I moved from an iPhone 11 Pro Max to this phone, so it's a big step up for me. I love it, considering it's my first Android phone. I think the 200-megapixel camera and fast processor are its best qualities. Gemini feels natural and helps a lot, to be honest. (Not as smart as ChatGPT though, at least for now)",Titanium Gray,256 GB,S25 Ultra
"4.0 out of 5 starsGreat phone but overpriced, truly expensive.",4,Bought this phone for my wife. She likes it. Excellent product works as advertised. No complaints so far used it for about a week now. She only had problems transferring my data from my old android phone. You will need to order a case and phone charger. For the price it should of came with these items.,Titanium Silverblue,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone!!!,5,"I upgraded from an S21, and dang this phone is nice! Better camera, better speakers, sharper screen. It's very, very snappy. But the S21 was fast too. I only have one gripe, and once Samsung fixes it I'll come back and change my review to five stars... It's no longer possible to have a 4x5 grid pattern on the home screens. The only options now are 4x6 or 5x6. I read in one forum that eventually it will be possible? I'm hoping that's the case. I thought the phone was going to be better in every regard but this particular limitation is a step down for me. Anyway great phone overall!Update: I've been using this phone for 5 days now and screw it, I'm moving my review to five stars even though I still can't do the 4x5 grid. This phone is amazing.2nd update: Not really an update, just that I forgot to mention how easy it is to transition from one Samsung to another. Literally all my apps on the other phone were downloaded to the new phone, it was so freaking easy to make the transition.",Navy,256 GB,S25
5.0 out of 5 starsAn Excellent Android!,5,Excellent! Elegant! Suprb! It is the best android that I have ever owned. The camera is absolutely remarkable. Two built in AI's. Gemini and Bixby.. I absolutely love my S25 ultra,Titanium Black,512 GB,S25 Ultra
CPU high temperature,1,CPU/battery reaches insane temperatures while phone is idle. Literally can not hold the phone as it is very hot. Double the temperature of another normal phone 70°c tracked with CPU Z APP,Titanium Black,256 GB,S25 Ultra
Fake/Scam/Unboxed Phone,1,Selling unboxed phone with a fake seal. I got the phone checked in the Samsung Store and they said it had already been activated before and is out of warranty.,Titanium Black,512 GB,S25 Ultra
"Samsung pay not supported, very disappointing",2,"Samsung Pay's not working on this thing!  I've tried everything, but it keeps saying it's not supported.  So frustrating, because it worked perfectly on my old Note 20.Something's wrong, or maybe it's region-locked—they don't say anywhere.  I wish I hadn't wasted my money and time.If you use Samsung Pay, don't buy it from this vendor; look elsewhere.",Titanium Black,256 GB,S25 Ultra
5.0 out of 5 starsAmazing!!,5,"This was a major upgrade for us, we went from a S9 to this S25.  It is amazing how fast it is and how much better it looks.We are still getting use to them, yet we love them.My husband got the S25 with the 256 memory I think it is and I got the S25 Ultra with the I think 512 memory.He didn't want a phone much bigger than his old S9 and I wanted a phone bigger than the S9.Mine isn't huge yet it definitely makes the regular one look smaller when I use his.They look sleek and very nice!!They are fast and I don't have any issues with lag or anything like that.",Silver Shadow,256 GB,S25
5.0 out of 5 starsLovely & Excellent Device. Suggestion for the Camera,5,"I love this device, but I have a suggestion for the professional camera. Please consider a camera update that allows for full manual adjustments, utilizing all the capabilities of the hardware. Currently, there are limits in place. For example, in astrophotos using the raw camera, the ISO can only be manually adjusted up to 3200, while AI allows it to go up to 8000. Although editing is possible afterward, I would prefer to set the camera for an optimal professional photo according to my preferences and the hardware's capabilities. Offering both options—AI & auto, and a fully manual mode without limits—would be fantastic. If anyone has been able to make all adjustments manually, please share your experience.",Titanium Silverblue,256 GB,S25 Ultra
5.0 out of 5 starsHappy with it.,5,"I'm still getting used to it.  But it's highly efficient, has added interactive features with my cars hands free system.  Great camera. When syncing with my old phone it transferred my data, apps. Pics, in seconds.  All had to do was transfer my SIM card from my old phone to this one and I was 100% functioning.  No need to call my career and go through the hassle of transferring phones.",Titanium Silverblue,512 GB,S25 Ultra
1.0 out of 5 starsInfinite boot loop 5 days after initial use,1,"This product locked up while using the camera app and subsequently entered an infinite boot loop 5 days after initial use. The phone would get very hot, and restarting would only allow it to shut down for 60 seconds, upon which it would begin the boot process, only to get stuck on the initial black samsung screen, again, and again. The only thing I could do was wait until the battery physically ran to zero, which was a long time, and then try again the next day, when i discovered that the problem was still present. Amazon was very helpful, and almost immediately issued a full refund due to a manufacturer defect. I am posting this because this is a new product, and hopefully it will help someone else that runs into the same problem. I will try again with a local store, and hope that this is just a one off problem.",Titanium Whitesilver,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone,5,"I moved from an iPhone 11 Pro Max to this phone, so it's a big step up for me. I love it, considering it's my first Android phone. I think the 200-megapixel camera and fast processor are its best qualities. Gemini feels natural and helps a lot, to be honest. (Not as smart as ChatGPT though, at least for now)",Titanium Gray,256 GB,S25 Ultra
"4.0 out of 5 starsGreat phone but overpriced, truly expensive.",4,Bought this phone for my wife. She likes it. Excellent product works as advertised. No complaints so far used it for about a week now. She only had problems transferring my data from my old android phone. You will need to order a case and phone charger. For the price it should of came with these items.,Titanium Silverblue,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone!!!,5,"I upgraded from an S21, and dang this phone is nice! Better camera, better speakers, sharper screen. It's very, very snappy. But the S21 was fast too. I only have one gripe, and once Samsung fixes it I'll come back and change my review to five stars... It's no longer possible to have a 4x5 grid pattern on the home screens. The only options now are 4x6 or 5x6. I read in one forum that eventually it will be possible? I'm hoping that's the case. I thought the phone was going to be better in every regard but this particular limitation is a step down for me. Anyway great phone overall!Update: I've been using this phone for 5 days now and screw it, I'm moving my review to five stars even though I still can't do the 4x5 grid. This phone is amazing.2nd update: Not really an update, just that I forgot to mention how easy it is to transition from one Samsung to another. Literally all my apps on the other phone were downloaded to the new phone, it was so freaking easy to make the transition.",Navy,256 GB,S25
5.0 out of 5 starsAn Excellent Android!,5,Excellent! Elegant! Suprb! It is the best android that I have ever owned. The camera is absolutely remarkable. Two built in AI's. Gemini and Bixby.. I absolutely love my S25 ultra,Titanium Black,512 GB,S25 Ultra
CPU high temperature,1,CPU/battery reaches insane temperatures while phone is idle. Literally can not hold the phone as it is very hot. Double the temperature of another normal phone 70°c tracked with CPU Z APP,Titanium Black,256 GB,S25 Ultra
Fake/Scam/Unboxed Phone,1,Selling unboxed phone with a fake seal. I got the phone checked in the Samsung Store and they said it had already been activated before and is out of warranty.,Titanium Black,512 GB,S25 Ultra
"Samsung pay not supported, very disappointing",2,"Samsung Pay's not working on this thing!  I've tried everything, but it keeps saying it's not supported.  So frustrating, because it worked perfectly on my old Note 20.Something's wrong, or maybe it's region-locked—they don't say anywhere.  I wish I hadn't wasted my money and time.If you use Samsung Pay, don't buy it from this vendor; look elsewhere.",Titanium Black,256 GB,S25 Ultra
5.0 out of 5 starsAmazing!!,5,"This was a major upgrade for us, we went from a S9 to this S25.  It is amazing how fast it is and how much better it looks.We are still getting use to them, yet we love them.My husband got the S25 with the 256 memory I think it is and I got the S25 Ultra with the I think 512 memory.He didn't want a phone much bigger than his old S9 and I wanted a phone bigger than the S9.Mine isn't huge yet it definitely makes the regular one look smaller when I use his.They look sleek and very nice!!They are fast and I don't have any issues with lag or anything like that.",Silver Shadow,256 GB,S25
5.0 out of 5 starsLovely & Excellent Device. Suggestion for the Camera,5,"I love this device, but I have a suggestion for the professional camera. Please consider a camera update that allows for full manual adjustments, utilizing all the capabilities of the hardware. Currently, there are limits in place. For example, in astrophotos using the raw camera, the ISO can only be manually adjusted up to 3200, while AI allows it to go up to 8000. Although editing is possible afterward, I would prefer to set the camera for an optimal professional photo according to my preferences and the hardware's capabilities. Offering both options—AI & auto, and a fully manual mode without limits—would be fantastic. If anyone has been able to make all adjustments manually, please share your experience.",Titanium Silverblue,256 GB,S25 Ultra
5.0 out of 5 starsHappy with it.,5,"I'm still getting used to it.  But it's highly efficient, has added interactive features with my cars hands free system.  Great camera. When syncing with my old phone it transferred my data, apps. Pics, in seconds.  All had to do was transfer my SIM card from my old phone to this one and I was 100% functioning.  No need to call my career and go through the hassle of transferring phones.",Titanium Silverblue,512 GB,S25 Ultra
1.0 out of 5 starsInfinite boot loop 5 days after initial use,1,"This product locked up while using the camera app and subsequently entered an infinite boot loop 5 days after initial use. The phone would get very hot, and restarting would only allow it to shut down for 60 seconds, upon which it would begin the boot process, only to get stuck on the initial black samsung screen, again, and again. The only thing I could do was wait until the battery physically ran to zero, which was a long time, and then try again the next day, when i discovered that the problem was still present. Amazon was very helpful, and almost immediately issued a full refund due to a manufacturer defect. I am posting this because this is a new product, and hopefully it will help someone else that runs into the same problem. I will try again with a local store, and hope that this is just a one off problem.",Titanium Whitesilver,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone,5,"I moved from an iPhone 11 Pro Max to this phone, so it's a big step up for me. I love it, considering it's my first Android phone. I think the 200-megapixel camera and fast processor are its best qualities. Gemini feels natural and helps a lot, to be honest. (Not as smart as ChatGPT though, at least for now)",Titanium Gray,256 GB,S25 Ultra
"4.0 out of 5 starsGreat phone but overpriced, truly expensive.",4,Bought this phone for my wife. She likes it. Excellent product works as advertised. No complaints so far used it for about a week now. She only had problems transferring my data from my old android phone. You will need to order a case and phone charger. For the price it should of came with these items.,Titanium Silverblue,512 GB,S25 Ultra
5.0 out of 5 starsGreat phone!!!,5,"I upgraded from an S21, and dang this phone is nice! Better camera, better speakers, sharper screen. It's very, very snappy. But the S21 was fast too. I only have one gripe, and once Samsung fixes it I'll come back and change my review to five stars... It's no longer possible to have a 4x5 grid pattern on the home screens. The only options now are 4x6 or 5x6. I read in one forum that eventually it will be possible? I'm hoping that's the case. I thought the phone was going to be better in every regard but this particular limitation is a step down for me. Anyway great phone overall!Update: I've been using this phone for 5 days now and screw it, I'm moving my review to five stars even though I still can't do the 4x5 grid. This phone is amazing.2nd update: Not really an update, just that I forgot to mention how easy it is to transition from one Samsung to another. Literally all my apps on the other phone were downloaded to the new phone, it was so freaking easy to make the transition.",Navy,256 GB,S25
